ID_PARCEL;SURF_PARC;CODE_CULTU;CODE_GROUP;TYPE;ID_EXPL;EPAIS;MAXSTORAGE;RU;ARGILE;LIMON;SABLE;CONDHYDRO;FILTSOIL;TYPESOIL;CODE_ASA;ID_CULTU;ID_TYPE;ID_TYPESOI;ID_ASA;ID_FARM;CLASS_CULT
420598;0,83;EPE;4;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;28;1;1;1;11;8
420515;0,13;PTR;19;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;11;4
420510;0,26;TR6;16;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;138;1;1;1;11;2
420509;0,58;PPH;18;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;11;4
420511;0,26;PTR;19;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;11;4
420672;0,86;TR6;16;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;138;1;1;1;11;2
420614;0,61;PPH;18;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;149;1;1;1;11;4
420673;0,14;ORH;3;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;6;1;1;1;11;8
420674;0,16;ORH;3;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;6;1;1;1;11;8
420594;0,19;PTR;19;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;11;4
420525;0,24;PTR;19;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;151;1;1;1;11;4
420602;0,77;EPE;4;Gravitaire;005-16465;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;A0501002;28;1;1;1;11;8
9468153;4,02;AVP;4;0;005-16774;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;0;9;0;1;0;15;6
9468154;3,13;MCR;4;0;005-16774;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;0;29;0;1;0;15;8
398739;0,84;PTR;19;0;005-16774;84,9;359,3;86,2;20,9;32,3;46,9;37823,6;1;SABLE;0;151;0;3;0;15;4
365757;0,64;VRG;20;0;005-16292;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;0;173;0;1;0;10;5
365758;1,44;PWT;20;0;005-16292;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;0;171;0;1;0;10;5
365761;0,7;VRG;20;0;005-16292;36,0;154,0;41,7;25,3;39,8;34,9;14860,7;0;LIMON;0;173;0;1;0;10;5
